title,cast,director,keywords,genres,soup
Superman Returns,"['brandonrouth', 'kevinspacey', 'katebosworth']",bryansinger,"['savingtheworld', 'dccomics', 'invulnerability']","['adventure', 'fantasy', 'action']",savingtheworld dccomics invulnerability brandonrouth kevinspacey katebosworth b r y a n s i n g e r adventure fantasy action
Quantum of Solace,"['danielcraig', 'olgakurylenko', 'mathieuamalric']",marcforster,"['killing', 'undercover', 'secretagent']","['adventure', 'action', 'thriller']",killing undercover secretagent danielcraig olgakurylenko mathieuamalric m a r c f o r s t e r adventure action thriller
Pirates of the Caribbean: Dead Man's Chest,"['johnnydepp', 'orlandobloom', 'keiraknightley']",goreverbinski,"['witch', 'fortuneteller', 'bondage']","['adventure', 'fantasy', 'action']",witch fortuneteller bondage johnnydepp orlandobloom keiraknightley g o r e v e r b i n s k i adventure fantasy action
The Lone Ranger,"['johnnydepp', 'armiehammer', 'williamfichtner']",goreverbinski,"['texas', 'horse', 'survivor']","['action', 'adventure', 'western']",texas horse survivor johnnydepp armiehammer williamfichtner g o r e v e r b i n s k i action adventure western
Man of Steel,"['henrycavill', 'amyadams', 'michaelshannon']",zacksnyder,"['savingtheworld', 'dccomics', 'superhero']","['action', 'adventure', 'fantasy']",savingtheworld dccomics superhero henrycavill amyadams michaelshannon z a c k s n y d e r action adventure fantasy
The Chronicles of Narnia: Prince Caspian,"['benbarnes', 'williammoseley', 'annapopplewell']",andrewadamson,"['basedonnovel', 'fictionalplace', 'brothersisterrelationship']","['adventure', 'family', 'fantasy']",basedonnovel fictionalplace brothersisterrelationship benbarnes williammoseley annapopplewell a n d r e w a d a m s o n adventure family fantasy
The Avengers,"['robertdowneyjr.', 'chrisevans', 'markruffalo']",josswhedon,"['newyork', 'shield', 'marvelcomic']","['sciencefiction', 'action', 'adventure']",newyork shield marvelcomic robertdowneyjr. chrisevans markruffalo j o s s w h e d o n sciencefiction action adventure
Pirates of the Caribbean: On Stranger Tides,"['johnnydepp', 'penélopecruz', 'ianmcshane']",robmarshall,"['sea', 'captain', 'mutiny']","['adventure', 'action', 'fantasy']",sea captain mutiny johnnydepp penélopecruz ianmcshane r o b m a r s h a l l adventure action fantasy
Men in Black 3,"['willsmith', 'tommyleejones', 'joshbrolin']",barrysonnenfeld,"['timetravel', 'timemachine', 'alien']","['action', 'comedy', 'sciencefiction']",timetravel timemachine alien willsmith tommyleejones joshbrolin b a r r y s o n n e n f e l d action comedy sciencefiction
The Hobbit: The Battle of the Five Armies,"['martinfreeman', 'ianmckellen', 'richardarmitage']",peterjackson,"['corruption', 'elves', 'dwarves']","['action', 'adventure', 'fantasy']",corruption elves dwarves martinfreeman ianmckellen richardarmitage p e t e r j a c k s o n action adventure fantasy
The Amazing Spider-Man,"['andrewgarfield', 'emmastone', 'rhysifans']",marcwebb,"['lossoffather', 'vigilante', 'serum']","['action', 'adventure', 'fantasy']",lossoffather vigilante serum andrewgarfield emmastone rhysifans m a r c w e b b action adventure fantasy
Robin Hood,"['russellcrowe', 'cateblanchett', 'maxvonsydow']",ridleyscott,"['robinhood', 'archer', 'knight']","['action', 'adventure']",robinhood archer knight russellcrowe cateblanchett maxvonsydow r i d l e y s c o t t action adventure
The Hobbit: The Desolation of Smaug,"['martinfreeman', 'ianmckellen', 'richardarmitage']",peterjackson,"['elves', 'dwarves', 'orcs']","['adventure', 'fantasy']",elves dwarves orcs martinfreeman ianmckellen richardarmitage p e t e r j a c k s o n adventure fantasy
The Golden Compass,"['dakotabluerichards', 'nicolekidman', 'danielcraig']",chrisweitz,"['england', 'compass', 'experiment']","['adventure', 'fantasy']",england compass experiment dakotabluerichards nicolekidman danielcraig c h r i s w e i t z adventure fantasy
King Kong,"['naomiwatts', 'jackblack', 'adrienbrody']",peterjackson,"['filmbusiness', 'screenplay', 'showbusiness']","['adventure', 'drama', 'action']",filmbusiness screenplay showbusiness naomiwatts jackblack adrienbrody p e t e r j a c k s o n adventure drama action
Titanic,"['katewinslet', 'leonardodicaprio', 'francesfisher']",jamescameron,"['shipwreck', 'iceberg', 'ship']","['drama', 'romance', 'thriller']",shipwreck iceberg ship katewinslet leonardodicaprio francesfisher j a m e s c a m e r o n drama romance thriller
Captain America: Civil War,"['chrisevans', 'robertdowneyjr.', 'scarlettjohansson']",anthonyrusso,"['civilwar', 'war', 'marvelcomic']","['adventure', 'action', 'sciencefiction']",civilwar war marvelcomic chrisevans robertdowneyjr. scarlettjohansson a n t h o n y r u s s o adventure action sciencefiction
Battleship,"['taylorkitsch', 'alexanderskarsgård', 'rihanna']",peterberg,"['fight', 'u.s.navy', 'mindreading']","['thriller', 'action', 'adventure']",fight u.s.navy mindreading taylorkitsch alexanderskarsgård rihanna p e t e r b e r g thriller action adventure
Jurassic World,"['chrispratt', 'brycedallashoward', 'irrfankhan']",colintrevorrow,"['monster', 'dna', 'tyrannosaurusrex']","['action', 'adventure', 'sciencefiction']",monster dna tyrannosaurusrex chrispratt brycedallashoward irrfankhan c o l i n t r e v o r r o w action adventure sciencefiction
Skyfall,"['danielcraig', 'judidench', 'javierbardem']",sammendes,"['spy', 'secretagent', 'sociopath']","['action', 'adventure', 'thriller']",spy secretagent sociopath danielcraig judidench javierbardem s a m m e n d e s action adventure thriller
Spider-Man 2,"['tobeymaguire', 'kirstendunst', 'jamesfranco']",samraimi,"['dualidentity', ""loveofone'slife"", 'pizzaboy']","['action', 'adventure', 'fantasy']",dualidentity loveofone'slife pizzaboy tobeymaguire kirstendunst jamesfranco s a m r a i m i action adventure fantasy
Iron Man 3,"['robertdowneyjr.', 'gwynethpaltrow', 'doncheadle']",shaneblack,"['terrorist', 'waronterror', 'tennessee']","['action', 'adventure', 'sciencefiction']",terrorist waronterror tennessee robertdowneyjr. gwynethpaltrow doncheadle s h a n e b l a c k action adventure sciencefiction
Alice in Wonderland,"['miawasikowska', 'johnnydepp', 'annehathaway']",timburton,"['basedonnovel', 'fictionalplace', 'queen']","['family', 'fantasy', 'adventure']",basedonnovel fictionalplace queen miawasikowska johnnydepp annehathaway t i m b u r t o n family fantasy adventure
X-Men: The Last Stand,"['hughjackman', 'halleberry', 'ianmckellen']",brettratner,"['mutant', 'marvelcomic', 'basedoncomicbook']","['adventure', 'action', 'sciencefiction']",mutant marvelcomic basedoncomicbook hughjackman halleberry ianmckellen b r e t t r a t n e r adventure action sciencefiction
Monsters University,"['billycrystal', 'johngoodman', 'stevebuscemi']",danscanlon,"['monster', 'dormitory', 'games']","['animation', 'family']",monster dormitory games billycrystal johngoodman stevebuscemi d a n s c a n l o n animation family
Transformers: Revenge of the Fallen,"['shialabeouf', 'meganfox', 'joshduhamel']",michaelbay,"['egypt', 'sun', 'chaos']","['sciencefiction', 'action', 'adventure']",egypt sun chaos shialabeouf meganfox joshduhamel m i c h a e l b a y sciencefiction action adventure
Transformers: Age of Extinction,"['markwahlberg', 'stanleytucci', 'kelseygrammer']",michaelbay,"['sequel', 'alien', 'transformers']","['sciencefiction', 'action', 'adventure']",sequel alien transformers markwahlberg stanleytucci kelseygrammer m i c h a e l b a y sciencefiction action adventure
Oz: The Great and Powerful,"['jamesfranco', 'milakunis', 'rachelweisz']",samraimi,"['circus', 'witch', 'magic']","['fantasy', 'adventure', 'family']",circus witch magic jamesfranco milakunis rachelweisz s a m r a i m i fantasy adventure family
The Amazing Spider-Man 2,"['andrewgarfield', 'emmastone', 'jamiefoxx']",marcwebb,"['obsession', 'marvelcomic', 'sequel']","['action', 'adventure', 'fantasy']",obsession marvelcomic sequel andrewgarfield emmastone jamiefoxx m a r c w e b b action adventure fantasy
TRON: Legacy,"['garretthedlund', 'jeffbridges', 'oliviawilde']",josephkosinski,"['artificialintelligence', 'secretidentity', 'computerprogram']","['adventure', 'action', 'sciencefiction']",artificialintelligence secretidentity computerprogram garretthedlund jeffbridges oliviawilde j o s e p h k o s i n s k i adventure action sciencefiction
Cars 2,"['owenwilson', 'larrythecableguy', 'michaelcaine']",johnlasseter,"['carrace', 'sequel', 'comedy']","['animation', 'family', 'adventure']",carrace sequel comedy owenwilson larrythecableguy michaelcaine j o h n l a s s e t e r animation family adventure
Green Lantern,"['ryanreynolds', 'blakelively', 'petersarsgaard']",martincampbell,"['dccomics', 'transformation', 'superhero']","['adventure', 'action', 'thriller']",dccomics transformation superhero ryanreynolds blakelively petersarsgaard m a r t i n c a m p b e l l adventure action thriller
Toy Story 3,"['tomhanks', 'timallen', 'nedbeatty']",leeunkrich,"['hostage', 'college', 'toy']","['animation', 'family', 'comedy']",hostage college toy tomhanks timallen nedbeatty l e e u n k r i c h animation family comedy
Terminator Salvation,"['christianbale', 'samworthington', 'antonyelchin']",mcg,"['savingtheworld', 'artificialintelligence', 'prophecy']","['action', 'sciencefiction', 'thriller']",savingtheworld artificialintelligence prophecy christianbale samworthington antonyelchin m c g action sciencefiction thriller
Furious 7,"['vindiesel', 'paulwalker', 'dwaynejohnson']",jameswan,"['carrace', 'speed', 'revenge']",['action'],carrace speed revenge vindiesel paulwalker dwaynejohnson j a m e s w a n action
World War Z,"['bradpitt', 'mireilleenos', 'abigailhargrove']",marcforster,"['dystopia', 'apocalypse', 'zombie']","['action', 'drama', 'horror']",dystopia apocalypse zombie bradpitt mireilleenos abigailhargrove m a r c f o r s t e r action drama horror
X-Men: Days of Future Past,"['hughjackman', 'jamesmcavoy', 'michaelfassbender']",bryansinger,"['1970s', 'mutant', 'timetravel']","['action', 'adventure', 'fantasy']",1970s mutant timetravel hughjackman jamesmcavoy michaelfassbender b r y a n s i n g e r action adventure fantasy
Star Trek Into Darkness,"['chrispine', 'zacharyquinto', 'zoesaldana']",j.j.abrams,"['spacecraft', 'friendship', 'sequel']","['action', 'adventure', 'sciencefiction']",spacecraft friendship sequel chrispine zacharyquinto zoesaldana j . j . a b r a m s action adventure sciencefiction
Jack the Giant Slayer,"['nicholashoult', 'eleanortomlinson', 'ewanmcgregor']",bryansinger,"['basedonfairytale', 'giant']","['action', 'family', 'fantasy']",basedonfairytale giant nicholashoult eleanortomlinson ewanmcgregor b r y a n s i n g e r action family fantasy
The Great Gatsby,"['leonardodicaprio', 'tobeymaguire', 'careymulligan']",bazluhrmann,"['basedonnovel', 'infidelity', 'obsession']","['drama', 'romance']",basedonnovel infidelity obsession leonardodicaprio tobeymaguire careymulligan b a z l u h r m a n n drama romance
Prince of Persia: The Sands of Time,"['jakegyllenhaal', 'gemmaarterton', 'benkingsley']",mikenewell,"['persia', 'sandstorm', 'brotheragainstbrother']","['adventure', 'fantasy', 'action']",persia sandstorm brotheragainstbrother jakegyllenhaal gemmaarterton benkingsley m i k e n e w e l l adventure fantasy action
Pacific Rim,"['idriselba', 'charliehunnam', 'charlieday']",guillermodeltoro,"['dystopia', 'giantrobot', 'giantmonster']","['action', 'sciencefiction', 'adventure']",dystopia giantrobot giantmonster idriselba charliehunnam charlieday g u i l l e r m o d e l t o r o action sciencefiction adventure
Transformers: Dark of the Moon,"['shialabeouf', 'johnmalkovich', 'kenjeong']",michaelbay,"['moon', 'spacecraft', 'traitor']","['action', 'sciencefiction', 'adventure']",moon spacecraft traitor shialabeouf johnmalkovich kenjeong m i c h a e l b a y action sciencefiction adventure
Indiana Jones and the Kingdom of the Crystal Skull,"['harrisonford', 'cateblanchett', 'shialabeouf']",stevenspielberg,"['savingtheworld', 'riddle', 'whip']","['adventure', 'action']",savingtheworld riddle whip harrisonford cateblanchett shialabeouf s t e v e n s p i e l b e r g adventure action
The Good Dinosaur,"['raymondochoa', 'jackbright', 'jeffreywright']",petersohn,"['tyrannosaurusrex', 'friends', 'alternatehistory']","['adventure', 'animation', 'family']",tyrannosaurusrex friends alternatehistory raymondochoa jackbright jeffreywright p e t e r s o h n adventure animation family
Brave,"['kellymacdonald', 'juliewalters', 'billyconnolly']",brendachapman,"['scotland', 'rebel', 'bravery']","['animation', 'adventure', 'comedy']",scotland rebel bravery kellymacdonald juliewalters billyconnolly b r e n d a c h a p m a n animation adventure comedy
Star Trek Beyond,"['chrispine', 'zacharyquinto', 'karlurban']",justinlin,"['sequel', 'stranded', 'hatred']","['action', 'adventure', 'sciencefiction']",sequel stranded hatred chrispine zacharyquinto karlurban j u s t i n l i n action adventure sciencefiction
WALL·E,"['benburtt', 'elissaknight', 'jeffgarlin']",andrewstanton,['romanticcomedy'],"['animation', 'family']",romanticcomedy benburtt elissaknight jeffgarlin a n d r e w s t a n t o n animation family
Rush Hour 3,"['christucker', 'jackiechan', 'hiroyukisanada']",brettratner,['ambassador'],"['action', 'comedy', 'crime']",ambassador christucker jackiechan hiroyukisanada b r e t t r a t n e r action comedy crime
2012,"['johncusack', 'amandapeet', 'chiwetelejiofor']",rolandemmerich,"['civilization', 'naturaldisaster', 'endoftheworld']","['action', 'adventure', 'sciencefiction']",civilization naturaldisaster endoftheworld johncusack amandapeet chiwetelejiofor r o l a n d e m m e r i c h action adventure sciencefiction
A Christmas Carol,"['garyoldman', 'jimcarrey', 'stevevalentine']",robertzemeckis,"['holiday', 'basedonnovel', 'victorianengland']","['animation', 'drama']",holiday basedonnovel victorianengland garyoldman jimcarrey stevevalentine r o b e r t z e m e c k i s animation drama
Jupiter Ascending,"['milakunis', 'channingtatum', 'seanbean']",lillywachowski,"['jupiter', 'space', 'womandirector']","['sciencefiction', 'fantasy', 'action']",jupiter space womandirector milakunis channingtatum seanbean l i l l y w a c h o w s k i sciencefiction fantasy action
The Legend of Tarzan,"['alexanderskarsgård', 'margotrobbie', 'christophwaltz']",davidyates,"['africa', 'feralchild', 'tarzan']","['action', 'adventure']",africa feralchild tarzan alexanderskarsgård margotrobbie christophwaltz d a v i d y a t e s action adventure
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","['williammoseley', 'annapopplewell', 'skandarkeynes']",andrewadamson,"['savingtheworld', 'witch', 'basedonnovel']","['adventure', 'family', 'fantasy']",savingtheworld witch basedonnovel williammoseley annapopplewell skandarkeynes a n d r e w a d a m s o n adventure family fantasy
X-Men: Apocalypse,"['jamesmcavoy', 'michaelfassbender', 'jenniferlawrence']",bryansinger,"['mutant', 'supernaturalpowers', 'marvelcomic']",['sciencefiction'],mutant supernaturalpowers marvelcomic jamesmcavoy michaelfassbender jenniferlawrence b r y a n s i n g e r sciencefiction
The Dark Knight,"['christianbale', 'heathledger', 'aaroneckhart']",christophernolan,"['dccomics', 'crimefighter', 'secretidentity']","['drama', 'action', 'crime']",dccomics crimefighter secretidentity christianbale heathledger aaroneckhart c h r i s t o p h e r n o l a n drama action crime
Up,"['edasner', 'christopherplummer', 'jordannagai']",petedocter,"['agedifference', 'centralandsouthamerica', 'balloon']","['animation', 'comedy', 'family']",agedifference centralandsouthamerica balloon edasner christopherplummer jordannagai p e t e d o c t e r animation comedy family
Monsters vs Aliens,"['sethrogen', 'reesewitherspoon', 'hughlaurie']",conradvernon,"['alien', 'giantrobot', 'duringcreditsstinger']","['animation', 'family', 'adventure']",alien giantrobot duringcreditsstinger sethrogen reesewitherspoon hughlaurie c o n r a d v e r n o n animation family adventure
Iron Man,"['robertdowneyjr.', 'terrencehoward', 'jeffbridges']",jonfavreau,"['middleeast', 'armsdealer', 'malibu']","['action', 'sciencefiction', 'adventure']",middleeast armsdealer malibu robertdowneyjr. terrencehoward jeffbridges j o n f a v r e a u action sciencefiction adventure
Hugo,"['benkingsley', 'sachabaroncohen', 'asabutterfield']",martinscorsese,"['library', 'clock', 'filmdirector']","['adventure', 'drama', 'family']",library clock filmdirector benkingsley sachabaroncohen asabutterfield m a r t i n s c o r s e s e adventure drama family
Wild Wild West,"['willsmith', 'kevinkline', 'kennethbranagh']",barrysonnenfeld,"['steampunk', 'basedontvseries', 'steamlocomotive']","['action', 'adventure', 'comedy']",steampunk basedontvseries steamlocomotive willsmith kevinkline kennethbranagh b a r r y s o n n e n f e l d action adventure comedy
The Mummy: Tomb of the Dragon Emperor,"['brendanfraser', 'jetli', 'johnhannah']",robcohen,[],"['adventure', 'action', 'fantasy']", brendanfraser jetli johnhannah r o b c o h e n adventure action fantasy
Suicide Squad,"['willsmith', 'margotrobbie', 'joelkinnaman']",davidayer,"['dccomics', 'shareduniverse', 'antihero']","['action', 'adventure', 'crime']",dccomics shareduniverse antihero willsmith margotrobbie joelkinnaman d a v i d a y e r action adventure crime
Evan Almighty,"['stevecarell', 'laurengraham', 'johngoodman']",tomshadyac,"['fathersonrelationship', 'dailylife', 'marriedcouple']","['fantasy', 'comedy', 'family']",fathersonrelationship dailylife marriedcouple stevecarell laurengraham johngoodman t o m s h a d y a c fantasy comedy family
Edge of Tomorrow,"['tomcruise', 'emilyblunt', 'brendangleeson']",dougliman,"['dejavu', 'timewarp', 'restart']","['action', 'sciencefiction']",dejavu timewarp restart tomcruise emilyblunt brendangleeson d o u g l i m a n action sciencefiction
Waterworld,"['kevincostner', 'chaimgirafi', 'rickaviles']",kevinreynolds,"['ocean', 'tattoo', 'mutant']","['adventure', 'action']",ocean tattoo mutant kevincostner chaimgirafi rickaviles k e v i n r e y n o l d s adventure action
G.I. Joe: The Rise of Cobra,"['dennisquaid', 'channingtatum', 'marlonwayans']",stephensommers,"['terrorist', 'secret', 'hostage']","['adventure', 'action', 'thriller']",terrorist secret hostage dennisquaid channingtatum marlonwayans s t e p h e n s o m m e r s adventure action thriller
Inside Out,"['amypoehler', 'phyllissmith', 'richardkind']",petedocter,"['dream', 'cartoon', 'imaginaryfriend']","['drama', 'comedy', 'animation']",dream cartoon imaginaryfriend amypoehler phyllissmith richardkind p e t e d o c t e r drama comedy animation
The Jungle Book,"['neelsethi', 'billmurray', 'benkingsley']",jonfavreau,"['basedonnovel', 'snake', 'wolf']","['family', 'adventure', 'drama']",basedonnovel snake wolf neelsethi billmurray benkingsley j o n f a v r e a u family adventure drama
Iron Man 2,"['robertdowneyjr.', 'gwynethpaltrow', 'doncheadle']",jonfavreau,"['malibu', 'marvelcomic', 'superhero']","['adventure', 'action', 'sciencefiction']",malibu marvelcomic superhero robertdowneyjr. gwynethpaltrow doncheadle j o n f a v r e a u adventure action sciencefiction
Snow White and the Huntsman,"['kristenstewart', 'charlizetheron', 'chrishemsworth']",rupertsanders,"['queen', 'magic', 'fairytale']","['adventure', 'fantasy', 'drama']",queen magic fairytale kristenstewart charlizetheron chrishemsworth r u p e r t s a n d e r s adventure fantasy drama
Maleficent,"['angelinajolie', 'ellefanning', 'sharltocopley']",robertstromberg,"['fairytale', 'villain', 'sleepingbeauty']","['fantasy', 'adventure', 'action']",fairytale villain sleepingbeauty angelinajolie ellefanning sharltocopley r o b e r t s t r o m b e r g fantasy adventure action
Dawn of the Planet of the Apes,"['andyserkis', 'jasonclarke', 'garyoldman']",mattreeves,"['leader', 'colony', 'post-apocalyptic']","['sciencefiction', 'action', 'drama']",leader colony post-apocalyptic andyserkis jasonclarke garyoldman m a t t r e e v e s sciencefiction action drama
The Lovers,"['joshhartnett', 'simonekessell', 'tamsinegerton']",rolandjoffé,[],"['action', 'adventure', 'sciencefiction']", joshhartnett simonekessell tamsinegerton r o l a n d j o f f é action adventure sciencefiction
47 Ronin,"['keanureeves', 'hiroyukisanada', 'koushibasaki']",carlrinsch,"['japan', 'suicide', 'samurai']","['drama', 'action', 'adventure']",japan suicide samurai keanureeves hiroyukisanada koushibasaki c a r l r i n s c h drama action adventure
Captain America: The Winter Soldier,"['chrisevans', 'samuell.jackson', 'scarlettjohansson']",anthonyrusso,"['washingtond.c.', 'future', 'shield']","['action', 'adventure', 'sciencefiction']",washingtond.c. future shield chrisevans samuell.jackson scarlettjohansson a n t h o n y r u s s o action adventure sciencefiction
Shrek Forever After,"['mikemyers', 'eddiemurphy', 'camerondiaz']",mikemitchell,"['ogre', '3d']","['comedy', 'adventure', 'fantasy']",ogre 3d mikemyers eddiemurphy camerondiaz m i k e m i t c h e l l comedy adventure fantasy
Tomorrowland,"['brittrobertson', 'georgeclooney', 'raffeycassidy']",bradbird,"['inventor', 'apocalypse', 'destiny']","['adventure', 'family', 'mystery']",inventor apocalypse destiny brittrobertson georgeclooney raffeycassidy b r a d b i r d adventure family mystery
Big Hero 6,"['scottadsit', 'ryanpotter', 'danielhenney']",chriswilliams,"['brotherbrotherrelationship', 'hero', 'talent']","['adventure', 'family', 'animation']",brotherbrotherrelationship hero talent scottadsit ryanpotter danielhenney c h r i s w i l l i a m s adventure family animation
Wreck-It Ralph,"['johnc.reilly', 'sarahsilverman', 'jackmcbrayer']",richmoore,"['supportgroup', 'productplacement', 'bullying']","['family', 'animation', 'comedy']",supportgroup productplacement bullying johnc.reilly sarahsilverman jackmcbrayer r i c h m o o r e family animation comedy
The Polar Express,"['tomhanks', 'michaeljeter', 'nonagaye']",robertzemeckis,"['santaclaus', 'nerd', 'faith']","['adventure', 'animation', 'family']",santaclaus nerd faith tomhanks michaeljeter nonagaye r o b e r t z e m e c k i s adventure animation family
Independence Day: Resurgence,"['liamhemsworth', 'jeffgoldblum', 'billpullman']",rolandemmerich,"['alternatehistory', 'alieninvasion']","['action', 'adventure', 'sciencefiction']",alternatehistory alieninvasion liamhemsworth jeffgoldblum billpullman r o l a n d e m m e r i c h action adventure sciencefiction
How to Train Your Dragon,"['jaybaruchel', 'gerardbutler', 'craigferguson']",chrissanders,"['flying', 'blacksmith', 'arena']","['fantasy', 'adventure', 'animation']",flying blacksmith arena jaybaruchel gerardbutler craigferguson c h r i s s a n d e r s fantasy adventure animation
Terminator 3: Rise of the Machines,"['arnoldschwarzenegger', 'nickstahl', 'clairedanes']",jonathanmostow,"['savingtheworld', 'artificialintelligence', 'manvsmachine']","['action', 'thriller', 'sciencefiction']",savingtheworld artificialintelligence manvsmachine arnoldschwarzenegger nickstahl clairedanes j o n a t h a n m o s t o w action thriller sciencefiction
Guardians of the Galaxy,"['chrispratt', 'zoesaldana', 'davebautista']",jamesgunn,"['marvelcomic', 'spaceship', 'space']","['action', 'sciencefiction', 'adventure']",marvelcomic spaceship space chrispratt zoesaldana davebautista j a m e s g u n n action sciencefiction adventure
Interstellar,"['matthewmcconaughey', 'jessicachastain', 'annehathaway']",christophernolan,"['savingtheworld', 'artificialintelligence', 'fathersonrelationship']","['adventure', 'drama', 'sciencefiction']",savingtheworld artificialintelligence fathersonrelationship matthewmcconaughey jessicachastain annehathaway c h r i s t o p h e r n o l a n adventure drama sciencefiction
Inception,"['leonardodicaprio', 'josephgordon-levitt', 'ellenpage']",christophernolan,"['lossoflover', 'dream', 'kidnapping']","['action', 'thriller', 'sciencefiction']",lossoflover dream kidnapping leonardodicaprio josephgordon-levitt ellenpage c h r i s t o p h e r n o l a n action thriller sciencefiction
Shin Godzilla,"['hirokihasegawa', 'yutakatakenouchi', 'satomiishihara']",hideakianno,"['monster', 'godzilla', 'giantmonster']","['action', 'adventure', 'drama']",monster godzilla giantmonster hirokihasegawa yutakatakenouchi satomiishihara h i d e a k i a n n o action adventure drama
The Hobbit: An Unexpected Journey,"['ianmckellen', 'martinfreeman', 'richardarmitage']",peterjackson,"['riddle', 'elves', 'dwarves']","['adventure', 'fantasy', 'action']",riddle elves dwarves ianmckellen martinfreeman richardarmitage p e t e r j a c k s o n adventure fantasy action
The Fast and the Furious,"['paulwalker', 'vindiesel', 'michellerodriguez']",robcohen,"['streetgang', 'carrace', 'undercover']","['action', 'crime', 'thriller']",streetgang carrace undercover paulwalker vindiesel michellerodriguez r o b c o h e n action crime thriller
The Curious Case of Benjamin Button,"['cateblanchett', 'bradpitt', 'tildaswinton']",davidfincher,"['diary', 'navy', 'funeral']","['fantasy', 'drama', 'thriller']",diary navy funeral cateblanchett bradpitt tildaswinton d a v i d f i n c h e r fantasy drama thriller
X-Men: First Class,"['jamesmcavoy', 'michaelfassbender', 'jenniferlawrence']",matthewvaughn,"['cia', 'mutant', 'mine']","['action', 'sciencefiction', 'adventure']",cia mutant mine jamesmcavoy michaelfassbender jenniferlawrence m a t t h e w v a u g h n action sciencefiction adventure
The Hunger Games: Mockingjay - Part 2,"['jenniferlawrence', 'joshhutcherson', 'liamhemsworth']",francislawrence,"['revolution', 'strongwoman', 'dystopia']","['action', 'adventure', 'sciencefiction']",revolution strongwoman dystopia jenniferlawrence joshhutcherson liamhemsworth f r a n c i s l a w r e n c e action adventure sciencefiction
The Sorcerer's Apprentice,"['nicolascage', 'jaybaruchel', 'monicabellucci']",jonturteltaub,"['witch', 'fire', 'wolf']","['fantasy', 'adventure', 'action']",witch fire wolf nicolascage jaybaruchel monicabellucci j o n t u r t e l t a u b fantasy adventure action
Poseidon,"['kurtrussell', 'richarddreyfuss', 'joshlucas']",wolfgangpetersen,"[""newyear'seve"", 'fire', 'drowning']","['adventure', 'action', 'drama']",newyear'seve fire drowning kurtrussell richarddreyfuss joshlucas w o l f g a n g p e t e r s e n adventure action drama
Alice Through the Looking Glass,"['johnnydepp', 'miawasikowska', 'annehathaway']",jamesbobin,"['basedonnovel', 'clock', 'queen']",['fantasy'],basedonnovel clock queen johnnydepp miawasikowska annehathaway j a m e s b o b i n fantasy
Shrek the Third,"['mikemyers', 'eddiemurphy', 'camerondiaz']",chrismiller,"['ambush', 'sadness', 'stage']","['fantasy', 'adventure', 'animation']",ambush sadness stage mikemyers eddiemurphy camerondiaz c h r i s m i l l e r fantasy adventure animation
